u,v,moda,periode,w
Semarang,Tegal,TRUK,1,15
Semarang,Purwokerto,TRUK,1,15
Semarang,Yogyakarta,TRUK,1,15
Semarang,Solo,TRUK,1,15
Semarang,Kediri,TRUK,1,15
Semarang,Malang,TRUK,1,15
Semarang,Surabaya,TRUK,1,15
Semarang,Jember,TRUK,1,15
Semarang,Jakarta,KRTA,1,2
Semarang,Tegal,KRTA,1,2
Semarang,Cirebon,KRTA,1,2
Semarang,Surabaya,KRTA,1,2
Semarang,Purwokerto,KRTA,1,2
Semarang,Solo,KRTA,1,2
Serang,Jakarta,TRUK,1,15
Serang,Bandung,TRUK,1,15
Serang,Tasikmalaya,TRUK,1,15
Serang,Cirebon,TRUK,1,15
Serang,Tegal,TRUK,1,15
Serang,Purwokerto,TRUK,1,15
Serang,Yogyakarta,TRUK,1,15
Serang,Semarang,TRUK,1,15
Serang,Solo,TRUK,1,15
Serang,Kediri,TRUK,1,15
Serang,Malang,TRUK,1,15
Serang,Surabaya,TRUK,1,15
Serang,Jember,TRUK,1,15
Serang,Lampung,TRUK,1,15
Serang,Jakarta,KRTA,1,2
Serang,Cirebon,KRTA,1,2
Serang,Purwokerto,KRTA,1,2
Serang,Yogyakarta,KRTA,1,2
Serang,Solo,KRTA,1,2
Serang,Kediri,KRTA,1,2
Sibolga,Banda Aceh,TRUK,1,15
Sibolga,Lhokseumawe,TRUK,1,15
Sibolga,Medan,TRUK,1,15
Sibolga,Pematang Siantar,TRUK,1,15
Sibolga,Padang,TRUK,1,15
Sibolga,Pekanbaru,TRUK,1,15
Sibolga,Bengkulu,TRUK,1,15
Sibolga,Jambi,TRUK,1,15
Sibolga,Palembang,TRUK,1,15
Sibolga,Lampung,TRUK,1,15
Sibolga,Pangkal Pinang,TRUK,1,15
Solo,Serang,TRUK,1,15
Solo,Jakarta,TRUK,1,15
Solo,Bandung,TRUK,1,15
Solo,Tasikmalaya,TRUK,1,15
Solo,Cirebon,TRUK,1,15
Solo,Tegal,TRUK,1,15
Solo,Purwokerto,TRUK,1,15
Solo,Yogyakarta,TRUK,1,15
Solo,Semarang,TRUK,1,15
Solo,Kediri,TRUK,1,15
Solo,Malang,TRUK,1,15
Solo,Surabaya,TRUK,1,15
Solo,Jember,TRUK,1,15
Solo,Jakarta,KRTA,1,2
Solo,Yogyakarta,KRTA,1,2
Solo,Purwokerto,KRTA,1,2
Solo,Cirebon,KRTA,1,2
Solo,Bandung,KRTA,1,2
Solo,Tasikmalaya,KRTA,1,2
Solo,Semarang,KRTA,1,2
Surabaya,Serang,TRUK,1,15
Surabaya,Jakarta,TRUK,1,15
Surabaya,Bandung,TRUK,1,15
Surabaya,Tasikmalaya,TRUK,1,15
Surabaya,Cirebon,TRUK,1,15
Surabaya,Tegal,TRUK,1,15
Surabaya,Purwokerto,TRUK,1,15
Surabaya,Yogyakarta,TRUK,1,15
Surabaya,Semarang,TRUK,1,15
Surabaya,Solo,TRUK,1,15
Surabaya,Kediri,TRUK,1,15
Surabaya,Malang,TRUK,1,15
Surabaya,Jember,TRUK,1,15
Surabaya,Denpasar,TRUK,1,15
Surabaya,Jakarta,KBRG,1,4
